text,label,source
kok kesal sendiri ya lihat jawaban dari ketua pssi lain ditanya lain dijawab,negative,smsa:train
"pengiriman lama, charger tidak fast charging",negative,prdect_id
"makanan nya semuanya enak banget , favorit nya nachos dan salad 90 gourmet , sushi nya juga enak , suasana nya nyaman untuk berdua atau kumpul keluarga , selalu jadi pilihan kalau lagi ingin makanan jepang atau korea .",positive,smsa:validation
blok mahakam dikelola pertamina 100 atau penerimaan negara naik atau nasionalisme akan diuji ngawur atau terukur,neutral,smsa:train
"datang barang bagian samping agak bonyok dan terbuka, pas bongkar beberapa sekat ada yg terkelupas terkena gesekan entah karena apa. ada juga satu sekat yang tidak rapi pada bagian press resin nya. untuk sekat bagian depannya ada yg penyok pada bagian resinnya. semoga kedepannya bisa di check lagi quality controlnya di tingkatkan.",negative,prdect_id
untuk mengajukan kerjasama sponsorship ibu elsa dpt menghubungi pt . bank mandiri persero tbk corporate secretary cont,neutral,smsa:train
"di tempat makan ini boleh memilih duduk di kursi atau di sofa , di dalam ruangan atau di luar , dan setiap berkunjung pada malam hari selalu ada live musik dan pengunjung dapat menyumbangkan lagu . interior nya klasik dan antik . atmosfir nya cocok untuk bersantai bersama teman , pasangan atau keluarga . makanan nya enak dan banyak pilihan . kekurangan nya tempat parkir sempit .",positive,smsa:train
"interior nya homy banget seperti di rumah sendiri . bisa buat foto-foto lho . seperti di ruang tamu rumah kita . hahahaha . makanan nya juga banyak pilihan . tapi rasanya biasa saja . es krim nya enak-enak , yang paling bikin penasaran es krim yang isi nya cacing .",positive,smsa:train
"packaging rapi, barang sesuai pesanan ekspektasi. bahannya lembut, ringan, jahitannya rapi, dan warnanya cantik",positive,prdect_id
barangnya bagus dan berfungsi dengan baik respon penjual jg cepet mantap terimakasih,positive,kaggle_shopee
"tidak sesuai pesanan, pesan warna merah putih yg dikirim, warna lain",negative,prdect_id
lokasi nya yang bersebelahan dengan kampus itb membuat kafe ini cukup ramai . pilihan menu pasta nya cukup variatif . tempat nya juga nyaman dan luas dengan desain yang menarik .,positive,smsa:validation
mustika ratu bubuk yang bengkoang sama perling nya yang mutiara mandul,positive,smsa:train
"tidak terlalu suka sate , tapi ketempat ini karena penasaran dengan hasil ulasan di beberapa situ . sate nya lumayan empuk , harga standar . pelayanan nya lumayan cepat , yang terpentine tempat bersih .",positive,smsa:train
"rumah makan ayam bakar kq5 ini baru saja dibuka , dengan lokasi tepat di sisi rm ampera , jalan soekarno hatta , bandung . akan tetapi jumlah pengunjung yang datang menyaingi rm ampera yang sudah lebih dahulu eksis . soal rasa , lumayan mak nyuss . bumbu nya oke . jangan lupa pesan tahu dan tempe goreng nya yang krispi . minuman lidah buaya lemon sangat pas sebagai penutup hidangan utama nya .",positive,smsa:train
"jualan yg jujur ya gan. barang tidak sesuai dengan gambar. barang yg biasa saya beli sesuai dgn gambar yg dipajang. ini saya lgs order 4, yg ternyata dibawah ekspektasi saya. gambar kanan adalah barang original sesuai display.",negative,prdect_id
lucu juga konsep nya . tempat minum kopi potong rambut pria . pertama ke sini lebih dari sebulan lalu . nyobain potong rambut . hasil nya biasa saja sih . pijat nya kurang oke . kejutan nya karena sel potong rambut dapat kopi gratis . kunjungan berikut nya hari kemarin . lumayan ramai . beberapa meja terisi . kali ini hanya minum kopi - minum kopi tanpa potong rambut . latte nya lumayan enak . segar . harga juga .,positive,smsa:train
yang penting dalam kehidupan sehari-hari yang terlalu besar dan panjang umur aku jkn yang,positive,kaggle_shopee
"sepadan dengan harga mumer, bisa bersaing fitur terbaik terbaik semua pesanan sampai dan sangat sesuai.. mksh..",positive,kaggle_shopee
