text,label,source
"suasana restoran serasa di desa dengan semua pernik-pernik jadul . tapi makanan nya tidak demikian , enak dan harga nya pun tidak terlalu mahal . saya suka banget es beras kencur nya .",negative,smsa:train
paling suka di sini itu lomie - nya . harga nya tidak terlalu mahal . nasi capcay nya juga cukup enak . menu pilihan nya banyak sekali .,negative,smsa:train
"makanan di sini menurut saya kurang enak ya , karena saya orang minang , saya tidak terlalu suka makanan sunda yang manis hehe",positive,smsa:train
indomie banyak ditemukan di warung-warung terdekat .,neutral,smsa:train
"Tidak ada mc 8Gb seperti deskripsi iklan, di paket yg saya terima hanya ada R4 sama charger plus adapter micro sd tulisan happy box, mau komplen terlanjur klik terima barang. Dan komplen pun akan percuma karena mc barang kecil ujungnya saya yang disangka pura2 ga terima",negative,prdect_id
"ketika akhir pekan , keluarga saya mengajak untuk makan siang di sini . ini pertama kali saya makan di sini . apalagi lokasi nya tidak jauh dari rumah saya . makanan nya sih menurut saya biasa saja . saya lebih memilih kiyadon ataupun sushi tei . tapi yang membuat saya terkesan adalah dekorasi meja nya . tampak personal sekali . tiap tempat makan disediakan origami kecil . lucu sekali bentuk nya",negative,smsa:train
"interior nya menarik , di bagian dalam terdapat kaca besar di mana kita bisa melihat langsung ke taman . makanan nya biasa , servis nya lama dan parkir nya susah .",positive,smsa:train
"sangat melelahkan , balik pergi ke kampus sore sekali ditambah kerja kelompok yang tidak ada abis nya , deadline tugas juga mepet sekali bgst",positive,smsa:train
karet filternya kurang,negative,prdect_id
"tempa nya sangat memanjakan pengunjung . dengan suasana pedesaan , banyak nya pohon-pohon menambang kesejukan di tempat ini . tapi , pengunjung memang harus siap dengan harga makanan dan minuman yang diperjualbelikan di sini",negative,smsa:validation
beli 2 baru 2 hari pake stik yg 1nya malah eror suka mencet sendiri kecewa dah,negative,prdect_id
"dusun bambu tempat nya sangat cocok buat menghilangkan kepenatan . dari imam seniman , saya langsung ke dusun bambu . kira-kira perjalanan kami sekitar 30 menit . suasana nya asri , udara yang bersih . di situ ada tpt nama nya lutung kas arung . tempat nya di atas pohon . dan kami bertanya ke reservasi ternyata lutung kasarung tidak bisa buat 2 orang . ya , akhirnya kami kecewa .",positive,smsa:train
"salah satu kunci tidak bisa menutup baik , kunci yang tengah , tidak sesuai dengan yang dijanjikan",positive,smsa:train
menyediakan makanan yang cocok di lidah . aoo ikan yang khas dan enak . jengkol tumis pepaya juga tidak berasa pahit . tempat lumayan nyaman untuk menjamu teman ataupun makan bersama keluarga . sayang nya tempat parkir sempit . jadi harus parkir di bahu jalan .,negative,smsa:train
tiap kegaduhan melanda presiden sowan ke prabowo . apa arti nya ? jokower memang hanya bisa men jelek - jelekkan prabowo !,positive,smsa:train
"aurat diumbar-umbar , tidak tahu malu !",positive,smsa:train
"terletak di kompleks vila istana bunga , menyediakan berbagai menu masakan barat maupun indonesia . sambil makan menikmati pemandangan pegunungan",negative,smsa:train
Secara keseluruhan sudah bagus namun bagian dalam kadang suka copot copot,positive,prdect_id
kasihan tidak ada yang mau mengusulkan puan di caleg nanti,positive,smsa:train
"ada di semacam pujasera dengan beberapa pilihan masakan . khusus nya untuk batagor abuy , mungkin tidak sesuai selera saya , tidak makan sampai habis . harga nya juga menurut saya tidak sesuai kualitas . waktu itu saya bayar 32.000 untuk sepiring batagor saja tanpa minum",positive,smsa:train
beuuuh dasar anies kolak kalau gua jadi atasan nya gua sp3 sekaligus pecat kalau perlu sekalian,positive,smsa:train
"sangat terkenal dengan sajian kopi lokal nya lintong , sidikkalang , aceh gayo , dll. hot cold beverages masing2 tersedia . recommended menu yaitu cream bulle , macchiato con pana . tapi ice rum latte - nya juga tidak kalah rasanya dibanding 3 minuman rekomendasi tersebut kalau ada yang bukan kopi , bisa memesan smoothies , milkshakes atau beer . selain minuman , ada cemilan yang biasa ada dikebanyakan tempat , kentang goreng , . lanjutan",negative,smsa:train
"ketua umum partai demokrat , susilo bambang yudhoyono umumkan 17 cagub amp ; cawagub yang diusung partai demokrat untuk pilkada 2018 di wisma proklamasi , menteng , jakarta pusat , minggu 7 / 1 .",neutral,smsa:train
ya itu tadi ajang berkilah barista on trainee cupu yang tidak handal dan tidak asik . itu doang si modus nya ..,positive,smsa:train
"dulu kalau tidak salah ini nama nya lotek siap cie , enak banget rasanya dan harga nya pun tidak murah , selain itu ada biji salak , candil , dan lain-lain yang rasanya mantap banget .",negative,smsa:train
"Merek pena favoritt, murah, tintanya nyata, ga pernah macet, selalu smooth klo buat nulis",positive,prdect_id
"harus banget nyobain kopi sanger nya ! sanger itu kepanjangan dari saling mengerti antara kamu dengan sang barista . tinggal bilang mau panas atau dingin , pahit atau manis , dan voila ! kopi akan datang tepat dengan rasa yang kamu inginkan ! kopi sanger juga disajikan dengan berbagai tambahan rasa seperti nutela , milo , ovaltine , dan avocado . pas banget kalau kamu datang ke sini malam hari .",negative,smsa:train
meningkat nya presentase peminat ride sharing membuat toyota nekad menggelontorkan uang hingga $1 miliar pada grab demi menyelamatkan bisnis otomotif nya .,neutral,smsa:train
poin plus,negative,smsa:train
"Barang ok, pengiriman lamaa, konfirmasi aja butuh 2 hari, packing ga banget, ga pake buble",positive,prdect_id
cukup saya ditipu oleh tokopedia,positive,smsa:train
wortel mengandung vitamin a yang bisa jaga kesehatan mata .,neutral,smsa:test
Barang pecah..,negative,prdect_id
"paket cepat sampai, bagus, danrapih, trimakasih kakak.Warnanya bagus ??. Ukuran sesuai. Jahitannya rapi.",positive,prdect_id
restoran raja sunda . makanan nya oke enaklah . kami sekeluarga pesan ayam goreng . gurame goreng dan usang galah bakar .,negative,smsa:train
"pertemuan antara pihak bank bri , bpbat sungai gelam - jambi , dan pokdakan yang ada di desa pudak . untuk mendiskusikan bentuk penyaluran dana csr dari bank bri",neutral,smsa:train
