text,label,source
"nah braga permai langganan saya dan rekan kerja saya makan siang . terletak di jalan braga , ya cukup jalan kaki saja dari kantor saya . setiap makan siang , ada paket murah yang ditawarkan mulai dari 15 ribuan , menu nya pun macam-macam , ada nasi goreng , soto ayam , sate , fuyunghai , dan lain-lain , pokok nya rekomendasi dengan harga terjangkau .",positive,smsa:train
"Barang sangat berkualitas sebanding dg harga, kelengkapan banyak, sudah dapat tas, panduan yg jelas dan buku moderator tebal. Box kartu juga tebal. Mantappl",positive,prdect_id
"bagi para pecinta bakso rasanya wajib banget mampir ke warung bakso kekinian ini . banyak banget varian sajian bakso yang ditawarkan . dari mulai bakso kuah , mi bakso dan nasi dengan bakso . pokok nya komplit . tapi menurut saya juara nya tetap bakso keju dan bakso goreng . sama satu lagi , es durian kesepian nya . mantap pokok nya",positive,smsa:train
"tidak ada tempat makan restoran , tempat main anak anak kurang banyak , tetapi disain dan atmosfir nya luar biasa . patut dicoba",positive,smsa:train
tidak untuk rekomended suara ancur nois nya kacau nyesel kualitas ga bagus. ga kepake,negative,prdect_id
"saya makan di batagor siomay kingsley di bandung pada senin , 01 jun 2015 . tidak hanya menjual batagor dan siomay , namun juga tahu yun yi , kue cubit , ronde jahe , maupun aneka macam minuman teh hijau . juga ada roti panggang maupun bakmie . saya pesan batagor goreng dan roti panggang . rasanya enak , dan pengunjung nya juga ramai .",positive,smsa:train
"Bahan dan konstruksinya tidak kuat, mudah patah.",negative,prdect_id
Tidak berfungsi dengan baik,negative,prdect_id
"terbaik sihhh iniii.. pesanan ny superr cpt sampe nya.. d proses ny cpt bgtttt.. br psen hr itu, bsk ny ud sampe lagi ?? pengemasan amann bgt juga ya.. ???? thx seller & kurir ????",positive,prdect_id
pembelian Kesekian kalinya dan biasanya dikemas pake kardus tapi yang dikirim cuma pake bubble wrap dan pecah lagi. ajukan barang rusak katanya bukan kesalahan toko tapi pas dicek masa patahannya/ serpihannya kurang. saya coba satuin tapi ada bagian yang memang ngak ada. apa di pengiriman mereka buka bubble wrap terus diganti gitu?,negative,prdect_id
saung-saung nya serasa di tengah hutan . ada air terjun nya . kalau akhir pekan atau musim liburan lumayan antre buat cari saung nya . kalau malam suasana nya bagus dengan lampu-lampu dan air terjun nya . sejuk . makanan nya enak . khas sunda . favorit saya sup ikan gurameh nya .,positive,smsa:train
"tempat yang sangat nyaman dan nyaman . mewah dan indah . pemandangan kota bandung terlihat romantis . terutama pada malam hari . buat yang menginap di trans hotel pada kamar tipe khusus juga bisa menikmati fasilitas lounge dengan cuma-cuma . free wine , makanan ringan , kue , dan banyak makanan ringan lainnya .",positive,smsa:train
"tempat nya menyenangkan , santai , dan sangat mudah ditemui , karena bersebelahan dengan swalayan lotte mart",positive,smsa:train
"mau review ini bingung sudah . semua makanan yang dijual nya enak semua dari nasi bakut mantap , nasi bakmoy mantap , lotek juga mantap . dan ini benar-benar tidak bohong itu semua enak dicoba dan buktikan sendiri deh __laugh__",positive,smsa:train
"meski baru pertama kali terjun ke piala dunia , traveloka berani menjadi satu-satunya sponsor dari indonesia pada piala dunia 2018 di rusia .",positive,smsa:train
"sekjen pdip : kami pernah diintervensi , tapi tak buat puisi mellow dramatik",neutral,smsa:train
"makanan di sini enak enak , sambil menunggu teman atau menunggu film di bioskop kadang sering makan di sini , karena enak dan bersih",positive,smsa:train
"makasih banyak gan, sukses selaluu pelayanan mantapp barang asli. sukses selalu untuk seller dan semoga bisa terus kasih harga dan pelayanan yg mantapp",positive,prdect_id
"salah satu chinese makanan legendaris di bandung . tapi saya sangat suka masakan kepiting nya , andalan nya kepiting saos padang . bumbu nya mantap kepiting nya mantap . kepiting nya kepiting pilihan . jadi daging nya banyak , tidak menyesal bayar agak mahal . sup asparagus nya juga mantap . kalau berdua bisa pesan porsi setengah .",positive,smsa:train
"berlokasi di jalan braga yang sangat terkenal di bandung , mudah diakses dari mana saja , variasi makanan nya lumayan banyak , harga berbanding dengan rasa . saya jalan braga lagi ada perbaikan dan tidak selesai selesai , sehingga mengurangi kenyamanan saat makan .",positive,smsa:train
kalian bangga punya presiden bermuka norak seperti ini ? binatang ini jokowidodo bukan manusia .,negative,smsa:validation
suasana sejuk pegunungan dan kebun stroberi yang indah menggoda anak-anak kita untuk memetik sebanyak-banyaknya buah stroberi yang ada . sangat menyenangkan untuk wisata keluarga dengan anak-anak yang masih kecil .,positive,smsa:train
ayam jogja adalah syam goreng yang mana rasanya manis sekali . dan ayam nya empuk sekali .,positive,smsa:train
"suasana yang sangat nyaman untuk makan malam di restoran ini , semua makanan was sempurna . enak banget ! staf nya ramah ramah . pelayanan nya bagus dengan indri , andrea ramah . dan bartender yang experience . keep it naik kakak . sukses untuk semuanya",positive,smsa:train
"hati2 beli produk nya. jangan sampai kecewa. berharap dapat hadiah nya, malahan ZONK. niat belanja di official store nya, malah dikirim dr toko cabang . ga dpt deh HADIAH nya.",negative,prdect_id
india sedang membuat superbike listrik berkecepatan tinggi,neutral,smsa:train
penggunaan dan fungsi tdk bagus,negative,prdect_id
restoran ini menyajikan masakan bali yang sarat modifikasi sehingga terkesan disesuaikan dengan lidah konsumen yang nota bene bukan orang bali . tiga photo yang saya lampirkan itu adalah makanan yang kami pesan .,positive,smsa:train
mohon dibantu dikirimkan kembali ebi tagihan saya terakhir,neutral,smsa:validation
indosat kartu nya banyak yang limit .,negative,smsa:train
"balista sushi tea , resto dengan gaya rumahan klasik di jalan banda . satu menu yang menarik perhatian saya , yaitu batox manis . batox manis bisa dibilang es krim biasa , namun dengan penyajian yang unik . es krim tersebut disajikan dengan batok kelapa sebagai wadah nya dan ada tambahan parutan kelapa yang membuat ada tambahan rasa creamy dan tropical sensation saat memakan es krim . mantap",positive,smsa:train
"hampir gagal , terlalu capek , terlalu melelahkan",negative,smsa:train
"Selalu puas belanja disini, udah ketiga kalinya beli disini. Pengiriman cepat, respon cepat.",positive,prdect_id
agak kecewa beli 13 pcs di ksh yg exp bln 4 2022 semua...,negative,prdect_id
"resto dengan konsep saung2 yang terletak di dalam komplek perumahan . jalan menuji ke sana cukup gelap jika malam hari . makanan yang disajikan beragam mulai dari sundanese , makanan barat , dll. udara cukup dingin di malam hari atau ketika hujan jadi disarankan membawa jaket . jalan antar saung menggunakan batu-batu sehingga kadang-kadang licin ketika hujan",positive,smsa:train
"pertamakali berkunjung ke resto ini sejak masih di jalan hergamanah , zaman saya s mu . makanan yang disajikan rasanya masih tetap sama . shashlik menu favoriit dan sup jamur . rasa roti nya tidak berubah , menu nya makin banyak . duduk berlama-lama di tizi tidak membosankan , tempat yang asik untuk makan bersama keluarga dan teman .",positive,smsa:train
"bagi yang suka dimsum dan chinesse makanan , cocok untuk mencoba di rumah makan ini , cukup luas dan ada cukup untuk parkir kendaraan",positive,smsa:train
harga makanan di restoran itu mahal sekali dan rasanya tidak enak,negative,smsa:validation
pelayanan ramah dan cepat tempat bersih meskipun harga nya mahal tapi memang diimbangi dengan rasanya yang lezat,positive,smsa:train
sudah wanita tuna susila mah wanita tuna susila saja salam fuck buat si kunyuk ridwan kamil yang habis ngewe sama ariel gay .,negative,smsa:train
warga medan kagum dengan kinerja bapak jokowi,positive,smsa:train
jokowi meminta masyarakat memanfaatkan libur nasional untuk menggunakan hak pilih .,neutral,smsa:train
masyarakat sudah bosan dan muak dengar janji janji para calon presiden,negative,smsa:train
udah langganan,positive,prdect_id
bni bekerja sama dengan digination.id untuk mengadakan digitalk dengan tema umkm goes digital : using digital to transform your bus,neutral,smsa:train
pelayanan cukup baik . minuman agar selalu menggunakan bahan / buah-buahan yang masih baik dan layak untuk dikonsumsi . pastikan kelengkapan cashier semuanya berfungsi dengan baik . bagus lucu,positive,smsa:train
Bagusss bgt ikannyaa.. ????,positive,prdect_id
"saya ke sini saat malam bersama suami , kesan 1 , tempat nya memang besar tapi pas masuk dekor nya biasa saja , rasa makanan juga biasa saja , harga nya overpriced , sangat sangat mahal untuk rasa yang biasa saja menurut saya , makan di lantai 2 pakai lilin semua , tidak ada yang pakai lampu , tetapi malah jadi buat remang-remang .",positive,smsa:validation
lgbt itu di musnahkan dari negeri ini karena lgbt itu iblis dan buang kelaut untuk santapan ikan hiu,negative,smsa:train
"sangat nyaman tempat yang tertata baik , tempat parkir yang bagus namun harga kurang bersahabat , dan masih perlu pembenahan pada eksterior restoran sehingga lebih nyaman dan asri",positive,smsa:train
pasal makanan market ini salah 1 kafetaria besar berkonsep terbuka . makanan yang dijual beraneka ragam dari iga bakar pak jangkung sampai sate hadori ada di sini . menikmati malam diiringi musik . tak heran tempat ini selalu ramai . yang kurang hanya kita harus membawa uang cash di sini karena tidak menerima debit / kredit . tapi ya itu tidak begitu masalah .,positive,smsa:train
"pakai indosat bukan pelayanan , pakai telkomsel strip 1 , ingin marah : tolong ini masih di pulau jawa lo",negative,smsa:train
kalau ke sini harus coba fire dinas nya karena sangat pedas namun sangat lezat . saus keju nya menambah lezat ayam nya . tempat cukup luas dan dengan pemandangan yang cukup bagus,positive,smsa:train
"pertama melihat pemandangan nya , indah banget . ditambah lagi menu nya yang rasanya amat amat delicious . komplit sudah suasana malam ini . begitu juga dengan pelayanan nya yang sangat bersahabat . terima kasih buat mbak indri , mas reza , mas firdaus . tetap keep smile nya ya . see untuk lagi .",positive,smsa:train
"mantap sesuai pesanan, bakonya bener� mentol????respon cepat ,,, pengiriman cepat??????",positive,prdect_id
kita sudah beberapa kali mengadakan keluarga makan malam di sini . karena terbaik makanan dan bagus atmosphere . tidak pernah bosan datang ke sini karena variasi makanan yang enak dan suasana yang santai dan nyaman . tur favorit adalah the bbq . sangat spesial .,positive,smsa:train
"makan siang bersama teman seusai pengajian di dekat hotel padma . pesan iga kambing bakar pedas yang ternyata yummy banget . porsi nya besar , tapi kami habiskan saking enak nya . suasana asyik , udara segar , pemandangan memikat . bakalan balik lagi deh . terima kasih untuk teh sangat bagus makan siang .",positive,smsa:train
